customer_id,customer_name,email,gender,age,country,city,income,education,marital_status,registration_date,customer_status
CUST00001,Customer 1,customer1@example.com,Other,22,France,Mumbai,170323,High School,Divorced,2025-08-27,Active
CUST00002,Customer 2,customer2@example.com,Male,58,Australia,Berlin,186123,Graduate,Divorced,2026-03-19,Inactive
CUST00003,Customer 3,customer3@example.com,Female,52,Singapore,Mumbai,85194,PhD,Married,2025-02-23,Active
CUST00004,Customer 4,customer4@example.com,Female,40,UK,Delhi,105351,PhD,Married,2026-06-22,Inactive
CUST00005,Customer 5,customer5@example.com,Other,40,Australia,Coimbatore,237638,High School,Divorced,2025-11-04,Active
CUST00006,Customer 6,customer6@example.com,Male,62,India,Chennai,216671,Postgraduate,Divorced,2025-12-23,Inactive
CUST00007,Customer 7,customer7@example.com,Female,22,Germany,Chennai,117934,PhD,Divorced,2025-04-23,Active
CUST00008,Customer 8,customer8@example.com,Male,54,USA,Bengaluru,79220,Graduate,Married,2025-11-12,Inactive
CUST00009,Customer 9,customer9@example.com,Other,28,Germany,Hyderabad,92804,Postgraduate,Divorced,2025-01-02,Active
CUST00010,Customer 10,customer10@example.com,Female,22,Singapore,Hyderabad,146139,Graduate,Married,2026-06-15,Inactive
CUST00011,Customer 11,customer11@example.com,Female,45,France,New York,152526,PhD,Married,2026-03-23,Active
CUST00012,Customer 12,customer12@example.com,Female,68,India,Bengaluru,66431,High School,Divorced,2025-09-28,Inactive
CUST00013,Customer 13,customer13@example.com,Male,56,USA,Mumbai,39812,PhD,Divorced,2026-05-14,Inactive
CUST00014,Customer 14,customer14@example.com,Other,57,UK,Delhi,136443,Postgraduate,Divorced,2026-04-29,Inactive
CUST00015,Customer 15,customer15@example.com,Female,55,Germany,Delhi,204429,PhD,Single,2025-03-12,Active
CUST00016,Customer 16,customer16@example.com,Male,58,Singapore,Pune,59305,PhD,Single,2025-02-02,Inactive
CUST00017,Customer 17,customer17@example.com,Female,44,Germany,New York,116880,Postgraduate,Divorced,2025-06-01,Active
CUST00018,Customer 18,customer18@example.com,Other,24,Germany,Hyderabad,61355,PhD,Single,2025-01-01,Active
CUST00019,Customer 19,customer19@example.com,Other,61,Germany,Bengaluru,79480,Postgraduate,Married,2025-12-08,Active
CUST00020,Customer 20,customer20@example.com,Female,41,USA,Bengaluru,162750,High School,Single,2025-11-11,Active
CUST00021,Customer 21,customer21@example.com,Male,44,Singapore,Chennai,89394,Graduate,Divorced,2025-11-17,Inactive
CUST00022,Customer 22,customer22@example.com,Female,37,Singapore,Chennai,84352,Graduate,Single,2025-02-13,Active
CUST00023,Customer 23,customer23@example.com,Female,27,UK,New York,249025,PhD,Single,2026-07-02,Inactive
CUST00024,Customer 24,customer24@example.com,Female,66,France,Berlin,63782,PhD,Single,2026-08-06,Inactive
CUST00025,Customer 25,customer25@example.com,Male,58,UK,Coimbatore,67589,Graduate,Single,2025-12-18,Active
CUST00026,Customer 26,customer26@example.com,Female,51,Singapore,Bengaluru,234198,Graduate,Married,2025-01-04,Inactive
CUST00027,Customer 27,customer27@example.com,Female,38,Germany,Coimbatore,148797,Postgraduate,Married,2025-08-25,Active
CUST00028,Customer 28,customer28@example.com,Other,60,UK,Mumbai,34675,PhD,Divorced,2026-03-05,Active
CUST00029,Customer 29,customer29@example.com,Female,46,USA,Delhi,120615,Postgraduate,Divorced,2026-03-23,Inactive
CUST00030,Customer 30,customer30@example.com,Female,41,France,Chennai,152158,Graduate,Married,2025-05-26,Inactive
CUST00031,Customer 31,customer31@example.com,Female,41,UK,Berlin,81968,Graduate,Single,2026-05-06,Inactive
CUST00032,Customer 32,customer32@example.com,Male,29,UK,Bengaluru,148359,High School,Married,2026-07-31,Active
