ticket_id,customer_id,customer_name,customer_email,product_purchased,ticket_type,ticket_subject,ticket_status,resolution,ticket_priority,ticket_channel,first_response_minutes,resolution_hours,customer_satisfaction_rating
TKT00001,CUST00804,Customer 1555,customer528@example.com,AI Platform,Technical Issue,Installation help,Resolved,Refund processed,Medium,Web Form,393,97.51,1
TKT00002,CUST01994,Customer 1593,customer1793@example.com,Analytics Suite,Product Question,Payment issue,Resolved,Escalated,Medium,Email,156,33.73,1
TKT00003,CUST00456,Customer 564,customer274@example.com,Cloud Subscription,Feature Request,Performance issue,Open,Configuration fixed,Low,Phone,232,18.86,3
TKT00004,CUST01897,Customer 26,customer1117@example.com,AI Platform,Feature Request,General enquiry,Closed,Password reset,Low,Chat,11,16.08,2
TKT00005,CUST00559,Customer 1439,customer1268@example.com,Support Package,Billing,Installation help,Resolved,Escalated,High,Email,210,52.57,5
TKT00006,CUST00250,Customer 514,customer1603@example.com,Laptop,Feature Request,Performance issue,In Progress,Escalated,Critical,Web Form,436,34.93,1
TKT00007,CUST01435,Customer 1618,customer196@example.com,Support Package,Billing,Payment issue,Open,Escalated,Medium,Web Form,36,56.52,3
TKT00008,CUST00913,Customer 675,customer1726@example.com,Analytics Suite,Product Question,Installation help,Resolved,Information provided,Low,Chat,506,101.54,2
TKT00009,CUST01464,Customer 1954,customer500@example.com,CRM License,Feature Request,Performance issue,Resolved,Information provided,Medium,Phone,163,13.04,1
TKT00010,CUST01973,Customer 1719,customer1391@example.com,Cloud Subscription,Technical Issue,Performance issue,Open,Information provided,Medium,Web Form,440,31.63,4
TKT00011,CUST00297,Customer 137,customer106@example.com,Analytics Suite,Account Access,Login problem,Open,Configuration fixed,Critical,Chat,85,14.04,4
TKT00012,CUST01097,Customer 1496,customer289@example.com,CRM License,Product Question,Installation help,In Progress,Information provided,Medium,Phone,83,76.63,1
TKT00013,CUST00533,Customer 1438,customer1062@example.com,Cloud Subscription,Technical Issue,Payment issue,Resolved,Information provided,Critical,Web Form,522,74.96,3
TKT00014,CUST00995,Customer 617,customer239@example.com,Analytics Suite,Product Question,Payment issue,In Progress,Password reset,Critical,Chat,574,101.89,3
TKT00015,CUST00513,Customer 1836,customer894@example.com,AI Platform,Billing,General enquiry,Open,Refund processed,High,Email,161,87.68,1
TKT00016,CUST00391,Customer 1575,customer869@example.com,Support Package,Account Access,Login problem,Closed,Password reset,Medium,Phone,577,84.09,2
TKT00017,CUST01039,Customer 532,customer949@example.com,CRM License,Technical Issue,Installation help,Closed,Password reset,Critical,Chat,490,19.68,2
TKT00018,CUST00840,Customer 1621,customer127@example.com,Analytics Suite,Technical Issue,Performance issue,Open,Configuration fixed,High,Chat,156,98.39,3
TKT00019,CUST01534,Customer 1421,customer1466@example.com,CRM License,Feature Request,General enquiry,In Progress,Password reset,High,Web Form,483,1.37,3
TKT00020,CUST00997,Customer 1025,customer602@example.com,AI Platform,Technical Issue,General enquiry,In Progress,Password reset,Critical,Web Form,589,85.93,3
TKT00021,CUST01207,Customer 1781,customer1433@example.com,Support Package,Technical Issue,Login problem,Closed,Password reset,High,Web Form,182,97.84,4
TKT00022,CUST01429,Customer 1016,customer417@example.com,AI Platform,Billing,Performance issue,Open,Password reset,High,Email,267,27.58,1
TKT00023,CUST00110,Customer 542,customer419@example.com,AI Platform,Account Access,Installation help,In Progress,Refund processed,Critical,Chat,174,37.76,1
TKT00024,CUST00901,Customer 1020,customer78@example.com,Laptop,Account Access,General enquiry,Closed,Configuration fixed,Low,Web Form,26,29.43,5
TKT00025,CUST01050,Customer 968,customer1710@example.com,CRM License,Feature Request,Performance issue,Open,Information provided,Critical,Phone,560,98.43,2
TKT00026,CUST01270,Customer 335,customer799@example.com,AI Platform,Product Question,Installation help,Resolved,Escalated,Medium,Web Form,346,50.79,3
TKT00027,CUST00080,Customer 1146,customer270@example.com,CRM License,Feature Request,General enquiry,In Progress,Password reset,Critical,Email,111,43.93,1
TKT00028,CUST00204,Customer 1626,customer499@example.com,AI Platform,Billing,General enquiry,Closed,Escalated,High,Web Form,316,60.52,5
TKT00029,CUST01699,Customer 1759,customer275@example.com,AI Platform,Account Access,Installation help,Open,Configuration fixed,Critical,Web Form,468,87.8,4
TKT00030,CUST01528,Customer 1430,customer204@example.com,AI Platform,Feature Request,Login problem,Closed,Escalated,Medium,Chat,515,79.43,5
TKT00031,CUST00842,Customer 980,customer146@example.com,Cloud Subscription,Product Question,Payment issue,Open,Refund processed,Critical,Email,468,85.08,5
TKT00032,CUST00007,Customer 1699,customer1461@example.com,Support Package,Product Question,Payment issue,In Progress,Password reset,High,Phone,214,113.72,2
TKT00033,CUST00518,Customer 1862,customer1166@example.com,AI Platform,Feature Request,Installation help,Open,Information provided,High,Email,554,30.99,3
TKT00034,CUST01285,Customer 1632,customer1826@example.com,Cloud Subscription,Product Question,Installation help,In Progress,Password reset,High,Web Form,460,25.22,5
TKT00035,CUST01361,Customer 1585,customer1950@example.com,Analytics Suite,Feature Request,Installation help,Resolved,Information provided,Critical,Chat,269,78.16,3
TKT00036,CUST01653,Customer 1571,customer1242@example.com,Laptop,Product Question,Performance issue,Open,Configuration fixed,High,Web Form,472,17.95,4
TKT00037,CUST01105,Customer 979,customer1078@example.com,Cloud Subscription,Billing,Payment issue,In Progress,Password reset,Medium,Phone,595,77.39,3
TKT00038,CUST01534,Customer 1561,customer1859@example.com,CRM License,Feature Request,General enquiry,Open,Configuration fixed,High,Web Form,22,114.74,3
TKT00039,CUST00472,Customer 766,customer1887@example.com,Analytics Suite,Billing,Performance issue,Resolved,Refund processed,Medium,Email,366,55.29,3
TKT00040,CUST00295,Customer 1889,customer333@example.com,CRM License,Technical Issue,Payment issue,Resolved,Configuration fixed,High,Email,404,26.16,5
TKT00041,CUST00671,Customer 1768,customer1197@example.com,Laptop,Technical Issue,General enquiry,In Progress,Configuration fixed,Medium,Web Form,523,119.39,3
TKT00042,CUST01689,Customer 1211,customer1537@example.com,CRM License,Technical Issue,General enquiry,Resolved,Password reset,Low,Chat,288,46.26,3
TKT00043,CUST01774,Customer 1439,customer1745@example.com,Analytics Suite,Product Question,Login problem,Open,Configuration fixed,Low,Email,207,14.11,3
TKT00044,CUST00159,Customer 1656,customer818@example.com,Support Package,Feature Request,Login problem,Open,Configuration fixed,Medium,Chat,123,50.23,3
TKT00045,CUST00392,Customer 1155,customer1275@example.com,Analytics Suite,Billing,Payment issue,Closed,Configuration fixed,Medium,Email,248,10.98,2
TKT00046,CUST00133,Customer 1603,customer980@example.com,Laptop,Technical Issue,Payment issue,Closed,Information provided,Critical,Phone,251,10.44,2
TKT00047,CUST01528,Customer 1476,customer1259@example.com,AI Platform,Feature Request,General enquiry,In Progress,Refund processed,High,Email,498,6.18,4
TKT00048,CUST01646,Customer 541,customer1329@example.com,Laptop,Billing,Payment issue,Open,Information provided,Critical,Chat,514,54.78,5
TKT00049,CUST01855,Customer 305,customer1167@example.com,AI Platform,Feature Request,General enquiry,Open,Refund processed,Low,Phone,304,55.35,3
TKT00050,CUST00366,Customer 1132,customer1568@example.com,Laptop,Billing,General enquiry,Resolved,Refund processed,Low,Email,414,88.14,5
TKT00051,CUST01038,Customer 1,customer147@example.com,CRM License,Feature Request,General enquiry,Resolved,Configuration fixed,Low,Email,441,65.53,5
TKT00052,CUST00895,Customer 1460,customer120@example.com,AI Platform,Feature Request,General enquiry,Open,Refund processed,Low,Web Form,377,103.29,1
TKT00053,CUST01954,Customer 1368,customer1668@example.com,Cloud Subscription,Billing,Login problem,Resolved,Refund processed,Low,Web Form,450,104.81,2
TKT00054,CUST01874,Customer 207,customer777@example.com,Support Package,Feature Request,Installation help,Resolved,Password reset,High,Email,50,20.92,3
TKT00055,CUST01674,Customer 620,customer771@example.com,Analytics Suite,Account Access,Performance issue,Closed,Escalated,Medium,Chat,278,5.43,2
TKT00056,CUST00418,Customer 1062,customer1530@example.com,Analytics Suite,Account Access,General enquiry,Closed,Escalated,Medium,Web Form,400,84.91,1
TKT00057,CUST00668,Customer 1452,customer1095@example.com,Cloud Subscription,Billing,Performance issue,Open,Password reset,High,Chat,311,1.69,4
